"SchoolYear","ESD","CountyNumber","County","CountyDistrictNumber","District","GradeTested","AlgebraTotalTestedNotTested","Algebra1TotalTested","Algebra1MetStandardIncludingPrevPass","Algebra1PercentMetStandardIncludingPrevPass","Algebra1MetStandardWithoutPrevPass","Algebra1PercentMetStandardWithoutPrevPass","Algebra1PercentMetStandardExcludingNoScore","Algebra1Level1","Algebra1PercentLevel1","Algebra1Level2","Algebra1PercentLevel2","Algebra1LevelBasic","Algebra1PercentLevelBasic","Algebra1Level3","Algebra1PercentLevel3","Algebra1Level4","Algebra1PercentLevel4","Algebra1NoScore","Algebra1PercentNoScore","Algebra1NotMet","Algebra1PercentNotMet","Algebra1ExcusedAbsence","Algebra1Exempted","Integrated1TotalTestedNotTested","Integrated1TotalTested","Integrated1MetStandardIncludingPrevPass","Integrated1PercentMetStandardIncludingPrevPass","Integrated1MetStandardWithoutPrevPass","Integrated1PercentMetStandardWithoutPrevPass","Integrated1PercentMetStandardExcludingNoScore","Integrated1Level1","Integrated1PercentLevel1","Integrated1Level2","Integrated1PercentLevel2","Integrated1LevelBasic","Integrated1PercentLevelBasic","Integrated1Level3","Integrated1PercentLevel3","Integrated1Level4","Integrated1PercentLevel4","Integrated1NoScore","Integrated1PercentNoScore","Integrated1NotMet","Integrated1PercentNotMet","Integrated1ExcusedAbsence","Integrated1Exempted","Retake1TotalTestedNotTested","Retake1TotalTested","Retake1MetStandardIncludingPrevPass","Retake1PercentMetStandardIncludingPrevPass","Retake1MetStandardWithoutPrevPass","Retake1PercentMetStandardWithoutPrevPass","Retake1PercentMetStandardExcludingNoScore","Retake1Level1","Retake1PercentLevel1","Retake1Level2","Retake1PercentLevel2","Retake1LevelBasic","Retake1PercentLevelBasic","Retake1Level3","Retake1PercentLevel3","Retake1Level4","Retake1PercentLevel4","Retake1NoScore","Retake1PercentNoScore","Retake1NotMet","Retake1PercentNotMet","Retake1ExcusedAbsence","Retake1Exempted","AllEOCMathYear1TotalTestedNotTested","AllEOCMathYear1TotalTested","AllEOCMathYear1MetStandardIncludingPrevPass","AllEOCMathYear1PercentMetStandardIncludingPrevPass","AllEOCMathYear1MetStandardWithoutPrevPass","AllEOCMathYear1PercentMetStandardWithoutPrevPass","AllEOCMathYear1PercentMetStandardExcludingNoScore","AllEOCMathYear1Level1","AllEOCMathYear1PercentLevel1","AllEOCMathYear1Level2","AllEOCMathYear1PercentLevel2","AllEOCMathYear1LevelBasic","AllEOCMathYear1PercentLevelBasic","AllEOCMathYear1Level3","AllEOCMathYear1PercentLevel3","AllEOCMathYear1Level4","AllEOCMathYear1PercentLevel4","AllEOCMathYear1NoScore","AllEOCMathYear1PercentNoScore","AllEOCMathYear1NotMet","AllEOCMathYear1PercentNotMet","AllEOCMathYear1ExcusedAbsence","AllEOCMathYear1Exempted","GeometryTotalTestedNotTested","GeometryTotalTested","GeometryMetStandardIncludingPrevPass","GeometryPercentMetStandardIncludingPrevPass","GeometryMetStandardWithoutPrevPass","GeometryPercentMetStandardWithoutPrevPass","GeometryPercentMetStandardExcludingNoScore","GeometryLevel1","GeometryPercentLevel1","GeometryLevel2","GeometryPercentLevel2","GeometryLevelBasic","GeometryPercentLevelBasic","GeometryLevel3","GeometryPercentLevel3","GeometryLevel4","GeometryPercentLevel4","GeometryNoScore","GeometryPercentNoScore","GeometryNotMet","GeometryPercentNotMet","GeometryExcusedAbsence","GeometryExempted","Integrated2TotalTestedNotTested","Integrated2TotalTested","Integrated2MetStandardIncludingPrevPass","Integrated2PercentMetStandardIncludingPrevPass","Integrated2MetStandardWithoutPrevPass","Integrated2PercentMetStandardWithoutPrevPass","Integrated2PercentMetStandardExcludingNoScore","Integrated2Level1","Integrated2PercentLevel1","Integrated2Level2","Integrated2PercentLevel2","Integrated2LevelBasic","Integrated2PercentLevelBasic","Integrated2Level3","Integrated2PercentLevel3","Integrated2Level4","Integrated2PercentLevel4","Integrated2NoScore","Integrated2PercentNoScore","Integrated2NotMet","Integrated2PercentNotMet","Integrated2ExcusedAbsence","Integrated2Exempted","Retake2TotalTestedNotTested","Retake2TotalTested","Retake2MetStandardIncludingPrevPass","Retake2PercentMetStandardIncludingPrevPass","Retake2MetStandardWithoutPrevPass","Retake2PercentMetStandardWithoutPrevPass","Retake2PercentMetStandardExcludingNoScore","Retake2Level1","Retake2PercentLevel1","Retake2Level2","Retake2PercentLevel2","Retake2LevelBasic","Retake2PercentLevelBasic","Retake2Level3","Retake2PercentLevel3","Retake2Level4","Retake2PercentLevel4","Retake2NoScore","Retake2PercentNoScore","Retake2NotMet","Retake2PercentNotMet","Retake2ExcusedAbsence","Retake2Exempted","AllEOCMathYear2TotalTestedNotTested","AllEOCMathYear2TotalTested","AllEOCMathYear2MetStandardIncludingPrevPass","AllEOCMathYear2PercentMetStandardIncludingPrevPass","AllEOCMathYear2MetStandardWithoutPrevPass","AllEOCMathYear2PercentMetStandardWithoutPrevPass","AllEOCMathYear2PercentMetStandardExcludingNoScore","AllEOCMathYear2Level1","AllEOCMathYear2PercentLevel1","AllEOCMathYear2Level2","AllEOCMathYear2PercentLevel2","AllEOCMathYear2LevelBasic","AllEOCMathYear2PercentLevelBasic","AllEOCMathYear2Level3","AllEOCMathYear2PercentLevel3","AllEOCMathYear2Level4","AllEOCMathYear2PercentLevel4","AllEOCMathYear2NoScore","AllEOCMathYear2PercentNoScore","AllEOCMathYear2NotMet","AllEOCMathYear2PercentNotMet","AllEOCMathYear2ExcusedAbsence","AllEOCMathYear2Exempted","BiologyTotalTestedNotTested","BiologyTotalTested","BiologyMetStandardIncludingPrevPass","BiologyPercentMetStandardIncludingPrevPass","BiologyMetStandardWithoutPrevPass","BiologyPercentMetStandardWithoutPrevPass","BiologyPercentMetStandardExcludingNoScore","BiologyLevel1","BiologyPercentLevel1","BiologyLevel2","BiologyPercentLevel2","BiologyLevelBasic","BiologyPercentLevelBasic","BiologyLevel3","BiologyPercentLevel3","BiologyLevel4","BiologyPercentLevel4","BiologyNoScore","BiologyPercentNoScore","BiologyNotMet","BiologyPercentNotMet","BiologyExcusedAbsence","BiologyExempted"
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","8",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","9",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","10",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","11",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","12",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01109","Washtucna School District","All",12,12,9,75,9,75,75,0,0,3,25,1,8.3,6,50,2,16.6,0,0,3,25,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,9,75,9,75,75,0,0,3,25,1,8.3,6,50,2,16.6,0,0,3,25,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01122","Benge School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 101","01","Adams","01122","Benge School District","All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","7&Lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-13","Educational Service District 123","01","Adams","01147","Othello School District","8",113,113,101,89.29,101,89.29,89.4,2,1.7,10,8.8,0,0,64,56.6,37,32.7,0,0,12,10.59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113,101,89.29,101,89.29,89.4,2,1.7,10,8.8,0,0,64,56.6,37,32.7,0,0,12,10.59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
