"SchoolYear","Column1","ESD","County","CountyDistrictNumber","District","GradeTested","EthnicityGender","WAASReadingTotalTestedNotTested","WAASReadingTotalTested","WAASReadingMetStandard","WAASReadingPercentMetStandard","WAASReadingPercentMetStandardExcludingNoScore","WAASReadingLevel1","WAASReadingPercentLevel1","WAASReadingLevel2","WAASReadingPercentLevel2","WAASReadingLevel3","WAASReadingPercentLevel3","WAASReadingLevel4","WAASReadingPercentLevel4","WAASReadingNoScore","WAASReadingPercentNoScore","WAASReadingNotMet","WAASReadingPercentNotMet","WAASReadingWAAS","WAASReadingPercentWAAS","WAASMathTotalTestedNotTested","WAASMathTotalTested","WAASMathMetStandard","WAASMathPercentMetStandard","WAASMathPercentMetStandardExcludingNoScore","WAASMathLevel1","WAASMathPercentLevel1","WAASMathLevel2","WAASMathPercentLevel2","WAASMathLevel3","WAASMathPercentLevel3","WAASMathLevel4","WAASMathPercentLevel4","WAASMathNoScore","WAASMathPercentNoScore","WAASMathNotMet","WAASMathPercentNotMet","WAASMathWAAS","WAASMathPercentWAAS","WAASWritingTotalTestedNotTested","WAASWritingTotalTested","WAASWritingMetStandard","WAASWritingPercentMetStandard","WAASWritingPercentMetStandardExcludingNoScore","WAASWritingLevel1","WAASWritingPercentLevel1","WAASWritingLevel2","WAASWritingPercentLevel2","WAASWritingLevel3","WAASWritingPercentLevel3","WAASWritingLevel4","WAASWritingPercentLevel4","WAASWritingNoScore","WAASWritingPercentNoScore","WAASWritingNotMet","WAASWritingPercentNotMet","WAASWritingWAAS","WAASWritingPercentWAAS","WAASScienceTotalTestedNotTested","WAASScienceTotalTested","WAASScienceMetStandard","WAASSciencePercentMetStandard","WAASSciencePercentMetStandardExcludingNoScore","WAASScienceLevel1","WAASSciencePercentLevel1","WAASScienceLevel2","WAASSciencePercentLevel2","WAASScienceLevel3","WAASSciencePercentLevel3","WAASScienceLevel4","WAASSciencePercentLevel4","WAASScienceNoScore","WAASSciencePercentNoScore","WAASScienceNotMet","WAASSciencePercentNotMet","WAASScienceWAAS","WAASSciencePercentWAAS"
"2012-13",79,"Educational Service District 113","Grays Harbor","14005","Aberdeen School District",3,"ALL",2,0,,,,,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",79,"Educational Service District 113","Grays Harbor","14005","Aberdeen School District",4,"ALL",2,0,,,,,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,
"2012-13",79,"Educational Service District 113","Grays Harbor","14005","Aberdeen School District",5,"ALL",1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,0
"2012-13",79,"Educational Service District 113","Grays Harbor","14005","Aberdeen School District",6,"ALL",1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",79,"Educational Service District 113","Grays Harbor","14005","Aberdeen School District",7,"ALL",1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,
"2012-13",79,"Educational Service District 113","Grays Harbor","14005","Aberdeen School District",8,"ALL",1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,0
"2012-13",79,"Educational Service District 113","Grays Harbor","14005","Aberdeen School District",10,"ALL",1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,0
"2012-13",145,"Educational Service District 113","Lewis","21226","Adna School District",3,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",145,"Educational Service District 113","Lewis","21226","Adna School District",4,"ALL",,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"2012-13",145,"Educational Service District 113","Lewis","21226","Adna School District",5,"ALL",2,0,,,,,,,,,,,,,,,,,0,2,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,0
